checked_at,requested_brand,matched_brand,match_mode,search_result_total,matched_products,pages_scanned,top_candidate_brands,status
2026-09-18T16:55:30+09:00,크리건,크리건,exact,0,111,3,크리건:111,ok
2026-09-18T17:05:03+09:00,크림소다랩,크림소다랩,exact,0,1210,22,크림소다랩:1210,ok
2026-09-18T10:23:48+09:00,키르시,키르시,exact,0,1235,23,키르시:1235 | 키르시 언더웨어:53 | 키르시블렌딩:17 | 트루릴리젼:3 | 케이스위스:1,ok
2026-09-18T00:55:51+09:00,키뮤어,키뮤어,exact,0,435,9,키뮤어:435,ok
2026-09-17T21:32:40+09:00,킴지수,킴지수,exact,0,402,8,킴지수:402,ok
2026-09-18T16:32:26+09:00,타미진스,타미진스,exact,0,554,12,타미진스:554 | 타미힐피거:37 | 타미힐피거 키즈:17,ok
2026-09-18T17:10:47+09:00,탄산마그네슘,탄산마그네슘,exact,0,494,10,탄산마그네슘:494,ok
2026-09-18T10:20:39+09:00,테이크이지,테이크이지,exact,0,314,11,테이크이지:314 | 테이크이지 키즈:271,ok
2026-09-18T00:32:58+09:00,테켓,테켓,exact,0,526,10,테켓:526,ok
2026-09-17T21:30:10+09:00,텍스,텍스,exact,0,42,9,투머치택스:150 | 삼익가구:59 | 텍스:42 | 배럴:37 | 디아도라:26,ok
2026-09-18T09:41:12+09:00,토런스,토런스,exact,0,89,3,토런스:89 | 아이더:2 | 스위스 밀리터리 캐리어:1,ok
2026-09-18T14:56:37+09:00,토마스모어,토마스모어,exact,0,119,3,토마스모어:119,ok
2026-09-18T03:51:13+09:00,토피,토피,exact,0,365,12,토피:365 | 토피 우먼:129 | 모란카노:15 | 디자인스킨:14 | 아이노케이:13,ok
2026-09-18T03:41:04+09:00,튜드먼트,튜드먼트,exact,0,575,11,튜드먼트:575,ok
2026-09-17T21:32:02+09:00,트래드클럽,트래드클럽,exact,0,202,4,트래드클럽:202 | 나이키:4 | 펜필드:1,ok
2026-09-18T06:50:26+09:00,트래블,트래블,exact,0,358,40,트래블:358 | 헌터:69 | 스탠리 1913:56 | 키트래블:55 | 베르니:41,ok
2026-09-18T01:07:48+09:00,트리밍버드,트리밍버드,exact,0,848,16,트리밍버드:848,ok
2026-09-17T21:54:18+09:00,트릴리온,트릴리온,exact,0,661,13,트릴리온:661 | 가이거주얼리:1,ok
2026-09-18T15:03:58+09:00,트립르센스,트립르센스,exact,0,720,13,트립르센스:720,ok
2026-09-18T03:32:34+09:00,트위,트위,exact,0,485,40,트위:485 | 리:250 | 웹하우스:146 | 리 키즈:97 | 아디다스 골프:43,ok
2026-09-17T21:49:43+09:00,티엔지티,티엔지티,exact,0,527,12,티엔지티:527 | 티엔지티 우먼:109,ok
2026-09-18T03:57:10+09:00,틸아이다이,틸아이다이,exact,0,514,10,틸아이다이:514,ok
2026-09-18T10:11:20+09:00,파르티멘토,파르티멘토,exact,0,502,33,파르티멘토 우먼:1356 | 파르티멘토:502 | 파르티멘토 리웍스:21 | 아투스모멍트:6,ok
2026-09-18T14:46:46+09:00,파르티멘토우먼,파르티멘토 우먼,normalized,0,1351,26,파르티멘토 우먼:1351 | 파르티멘토:97,ok
2026-09-17T18:58:06+09:00,파브레가,파브레가,exact,0,397,8,파브레가:397,ok
2026-09-18T14:42:42+09:00,파시온,파시온,exact,0,129,5,파시온:129 | 드파시온:95,ok
2026-09-18T16:34:12+09:00,파타고니아,파타고니아,exact,0,281,6,파타고니아:281 | 크래프트링크:2 | 매거진 B:1,ok
2026-09-18T00:25:24+09:00,패러다임필름,패러다임 필름,normalized,0,146,4,패러다임 필름:146,ok
