date,slot,goods_no,brand_name,product_name,first_failed_at,last_failed_at,attempts,last_error,current_price,product_url
2026-09-23,1,7326489,제너럴아이디어,타이 노카라 울 자켓 [PINK] / GF7LJK502,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,129000,https://www.musinsa.com/products/7326489
2026-09-23,1,7326501,제너럴아이디어,카라소매 배색 슬림 가디건 [BLACK] / GF3LKC515,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,69000,https://www.musinsa.com/products/7326501
2026-09-23,1,7326503,제너럴아이디어,카라소매 배색 슬림 가디건 [CHARCOAL] / GF3LKC515,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,69000,https://www.musinsa.com/products/7326503
2026-09-23,1,7326507,제너럴아이디어,WOMAN 마일드 아가일 크루넥 가디건 [3COL] / GF3LKC514,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,85000,https://www.musinsa.com/products/7326507
2026-09-23,1,7326523,제너럴아이디어,세미 루즈핏 도트 가디건 [BROWN] / GF7LKC511,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,62000,https://www.musinsa.com/products/7326523
2026-09-23,1,7326526,제너럴아이디어,WOMAN 디스트로이드 헤어리 케이블 후드 니트 [2COL] / GF3LKP522,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,72000,https://www.musinsa.com/products/7326526
2026-09-23,1,7328195,렌세,Washed Field Jacket Khaki,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,88000,https://www.musinsa.com/products/7328195
2026-09-23,1,7328214,렌세,Washed Field Jacket Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,88000,https://www.musinsa.com/products/7328214
2026-09-23,1,7328237,렌세,Semi-Oversized Studded Biker Jacket Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,98400,https://www.musinsa.com/products/7328237
2026-09-23,1,7328255,렌세,Two-Way High Neck Leather Jacket Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,86400,https://www.musinsa.com/products/7328255
